Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,7D Avg New Cases,7D Avg New Deaths,Case Fatality Rate (%),Doubling Time (days)
2020-07-14,13328867,578468,7322897,5427502,221452,5660,141758,4.34,54.94,7.9,187,213690.42857142858,4916.285714285715,4.339963779366993,40.760682328185375
2020-07-15,13559984,583961,7482320,5493703,231122,5493,159423,4.31,55.18,7.8,187,216450.42857142858,4941.142857142857,4.306502131565937,40.949867054228896
2020-07-16,13812525,589760,7634241,5588524,252544,5799,151921,4.27,55.27,7.73,187,219924.2857142857,4989.857142857143,4.269747928058049,41.060119011152366
2020-07-17,14054563,596503,7793760,5664300,242038,6743,159519,4.24,55.45,7.65,187,221275.85714285713,5194.428571428572,4.244194572253865,41.55296379134918
2020-07-18,14292198,602130,7944550,5745518,237635,5627,150790,4.21,55.59,7.58,187,224319.7142857143,5298.714285714285,4.212997888778199,41.69000734384966
2020-07-19,14506845,606159,8032235,5868451,214647,4029,87685,4.18,55.37,7.55,187,227459.57142857142,5309.428571428572,4.178434387353005,41.734532597325064
2020-07-20,14713623,610319,8190777,5912527,206778,4160,158542,4.15,55.67,7.45,187,229459.42857142858,5358.714285714285,4.147985849576274,41.974141924913745
2020-07-21,14947078,616557,8364986,5965535,233565,6238,174209,4.12,55.96,7.37,187,231189.85714285713,5441.285714285715,4.12493331472546,42.344857775624796
2020-07-22,15227725,623540,8541255,6062930,280647,6983,176269,4.09,56.09,7.3,187,238264.85714285713,5654.142857142857,4.094767931519646,41.82976660307538
2020-07-23,15510481,633506,8710969,6166006,282756,9966,169714,4.08,56.16,7.27,187,242580.85714285713,6249.428571428572,4.0843736567550675,41.84942129959228
2020-07-24,15791645,639650,8939705,6212290,281164,6144,228736,4.05,56.61,7.16,187,248170.2857142857,6163.857142857143,4.050559647205849,41.63621607199206
2020-07-25,16047190,644517,9158743,6243930,255545,4867,219038,4.02,57.07,7.04,187,250728.85714285713,6055.285714285715,4.016385423242324,41.89286685561203
2020-07-26,16251796,648621,9293464,6309711,204606,4104,134721,3.99,57.18,6.98,187,249294.42857142858,6066.0,3.9910727405143405,42.7179948307366
2020-07-27,16480485,654036,9468087,6358362,228693,5415,174623,3.97,57.45,6.91,187,252425.14285714287,6245.285714285715,3.968548255709708,42.78567287108437
