Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,7D Avg New Cases,7D Avg New Deaths,Case Fatality Rate (%),Doubling Time (days)
2020-03-03,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76,76,1790.5714285714287,63.857142857142854,3.419303780314611,33.22231953872565
2020-03-04,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55,80,1981.4285714285713,68.85714285714286,3.4366405754178126,30.58202725627713
2020-03-05,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4,84,2185.285714285714,76.0,3.4336439572181527,28.377143436700162
2020-03-06,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36,93,2551.8571428571427,83.85714285714286,3.410549598119952,25.004082820428415
2020-03-07,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26,94,2858.0,88.14285714285714,3.373784563962322,23.030049501034483
2020-03-08,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43,99,3082.285714285714,115.28571428571429,3.4750059487855327,22.05694801066959
2020-03-09,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54,102,3357.4285714285716,128.85714285714286,3.517841047664493,20.843270561704227
2020-03-10,118190,4260,62802,51128,5024,279,1911,3.6,53.14,6.78,105,3707.0,158.0,3.6043658515948893,19.57341606156524
2020-03-11,125853,4604,65113,56136,7663,344,2311,3.66,51.74,7.07,111,4473.285714285715,193.57142857142858,3.65823619619715,16.959712854447723
2020-03-12,131603,4909,66434,60260,5750,305,1321,3.73,50.48,7.39,113,4896.0,223.85714285714286,3.730158127094367,16.08377924553501
2020-03-13,146008,5406,68359,72243,14405,497,1925,3.7,46.82,7.91,120,6390.571428571428,278.85714285714283,3.702536847296039,13.263012108209143
2020-03-14,157114,5823,70729,80562,11106,417,2370,3.71,45.02,8.23,133,7400.285714285715,324.2857142857143,3.706226052420535,12.128732895561933
2020-03-15,168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72,137,8427.714285714286,381.0,3.8416736003803638,11.238702531252907
2020-03-16,182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38,143,9964.714285714286,451.85714285714283,3.9055538243703496,10.104445868866847
2020-03-17,198757,7948,78944,111865,15838,804,2752,4.0,39.72,10.07,146,11509.57142857143,526.8571428571429,3.998852870590721,9.33460661762368
2020-03-18,218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86,150,13212.857142857143,605.8571428571429,4.050965682435434,8.80661915645859
2020-03-19,246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98,154,16379.714285714286,720.2857142857143,4.04083472413415,7.743398880572956
2020-03-20,275869,11429,85509,178931,29608,1478,2445,4.14,31.0,13.37,161,18551.571428571428,860.4285714285714,4.142908409426213,7.625804573315084
2020-03-21,308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63,163,21580.14285714286,1044.4285714285713,4.26186420053541,7.20210481536278
2020-03-22,341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45,168,24760.714285714286,1195.2857142857142,4.341818288273783,6.8523163161057745
2020-03-23,383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36,169,28690.14285714286,1372.0,4.364299674267101,6.548409787024281
2020-03-24,424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94,171,32306.714285714286,1581.142857142857,4.475521842175251,6.386393273784347
2020-03-25,475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55,174,36768.28571428572,1849.7142857142858,4.581190903625348,6.230674104933031
2020-03-26,538666,24800,119804,394062,62960,3007,8359,4.6,22.24,20.7,175,41774.28571428572,2121.285714285714,4.6039660940174425,6.199063412047136
2020-03-27,603066,28318,128508,446240,64400,3518,8704,4.7,21.31,22.04,176,46744.57142857143,2412.714285714286,4.695671783851187,6.203844761004485
2020-03-28,670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176,51794.71428571428,2694.714285714286,4.77052374825375,6.2390413264509155
2020-03-29,730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176,55532.857142857145,2948.4285714285716,4.856908119950705,6.385436201047346
2020-03-30,794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177,58743.42857142857,3269.4285714285716,4.9857913626076975,6.66236843452055
2020-03-31,871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179,63780.857142857145,3637.4285714285716,5.1044637375122655,6.755618115430036
2020-04-01,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,67409.0,4033.714285714286,5.279721054614493,7.041114622468419
2020-04-02,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,70043.14285714286,4504.857142857143,5.474805824865301,7.496772067766475
2020-04-03,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,72722.42857142857,4857.285714285715,5.603606795291529,7.928161322896166
2020-04-04,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,74551.85714285714,5166.142857142857,5.715311097061344,8.430643779058233
2020-04-05,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,76286.28571428571,5387.285714285715,5.788243966640935,8.840814354623573
2020-04-06,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,77433.85714285714,5625.571428571428,5.90982934622611,9.33261778288195
2020-04-07,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,77499.14285714286,6062.428571428572,6.147403294128298,10.024408957141842
2020-04-08,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,78579.28571428571,6231.571428571428,6.253238463058819,10.600077124417435
2020-04-09,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,79325.85714285714,6420.714285714285,6.392871322626684,11.243155936611702
2020-04-10,1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184,79969.14285714286,6604.571428571428,6.492645823003312,11.901154282865717
2020-04-11,1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184,79469.42857142857,6637.142857142857,6.553938767388351,12.67355078221317
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184,83052.85714285714,6738.571428571428,6.5207815336902435,12.825494109640152
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184,82613.14285714286,6726.428571428572,6.583902755101562,13.499000952907107
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184,81620.85714285714,6583.0,6.699463120109371,14.29629304167417
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184,81200.0,6808.285714285715,6.839680290880507,15.080782717638822
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184,82641.0,6758.857142857143,6.870577029335811,15.588656983934518
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,7.0,24.63,28.41,184,82650.42857142857,6990.0,6.997790208932568,16.327983079998052
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184,82220.85714285714,7047.428571428572,7.053531325987482,17.055234662777064
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184,79895.28571428571,6881.571428571428,7.007387774806554,18.331471308840676
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184,80430.28571428571,6838.142857142857,7.019648478891222,18.82753281356118
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184,81190.71428571429,6875.142857142857,7.093065696289183,19.272325756316167
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184,80928.57142857143,6652.714285714285,7.142759381579538,20.092270258333087
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184,79828.71428571429,6590.857142857143,7.160852666854703,21.186050482111398
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184,81150.14285714286,6274.285714285715,7.17682957466271,21.981761312270585
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184,82717.85714285714,6146.714285714285,7.158933023980708,22.23549043981651
2020-04-26,2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53,184,81635.71428571429,6048.571428571428,7.113752156607671,23.20737866067675
2020-04-27,3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28,184,80973.57142857143,5935.142857142857,7.105890499035561,24.02627029564721
2020-04-28,3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09,184,80995.57142857143,5836.0,7.141678214268364,24.68482006527191
2020-04-29,3185195,228742,925752,2030701,79558,6768,41072,7.18,29.06,24.71,184,81076.14285714286,5837.857142857143,7.181412754949069,25.348848766365084
2020-04-30,3268876,234704,989616,2044556,83681,5962,63864,7.18,30.27,23.72,186,80314.42857142857,5711.0,7.179960328871453,26.36087993078035
2020-05-01,3355922,239881,1026501,2089540,87046,5177,36885,7.15,30.59,23.37,186,78896.14285714286,5497.142857142857,7.1479909246996804,27.125800046017634
2020-05-02,3437608,245206,1066362,2126040,81853,5325,39861,7.13,31.02,22.99,186,78456.28571428571,5461.0,7.133041347355487,28.02947272732997
2020-05-03,3515244,248659,1097577,2169008,77636,3453,31215,7.07,31.22,22.66,186,79126.0,5399.571428571428,7.073733715212942,28.454321818859217
2020-05-04,3591321,252787,1130526,2208008,76078,4128,32949,7.04,31.48,22.36,186,80179.42857142857,5325.142857142857,7.038830558449105,28.707294494776296
2020-05-05,3671310,258658,1166155,2246497,79989,5871,35629,7.05,31.76,22.18,186,80834.42857142857,5240.571428571428,7.045387068920903,29.137617362699675
2020-05-06,3761332,265327,1210894,2285111,90022,6669,44739,7.05,32.19,21.91,186,82329.28571428571,5226.428571428572,7.054070207043675,29.183452533297757
2020-05-07,3850418,270736,1249311,2330371,90669,5409,38417,7.03,32.45,21.67,186,83327.57142857143,5147.428571428572,7.031340493421753,29.633339769353235
2020-05-08,3941935,276304,1284849,2380782,92997,5568,35538,7.01,32.59,21.5,186,84177.71428571429,5203.285714285715,7.009349469232749,30.14710021917633
2020-05-09,4027781,280569,1337367,2409845,85846,4265,52518,6.97,33.2,20.98,186,84748.14285714286,5051.857142857143,6.9658454618063885,30.623824400700617
2020-05-10,4104027,284135,1370108,2449784,76255,3566,32741,6.92,33.38,20.74,186,84550.85714285714,5068.0,6.92332189822338,31.33177183251217
2020-05-11,4180268,287608,1416204,2476456,76298,3473,46096,6.88,33.88,20.31,186,84582.28571428571,4974.428571428572,6.880133044101479,31.95167773761951
2020-05-12,4263867,293155,1452191,2518521,83619,5547,35987,6.88,34.06,20.19,186,85100.85714285714,4928.142857142857,6.8753317118005794,32.42729928269902
2020-05-13,4348619,298383,1506905,2543331,84917,5228,54714,6.86,34.65,19.8,187,84371.57142857143,4722.285714285715,6.86155765772996,33.442633376908226
2020-05-14,4445724,303651,1545712,2596361,97106,5268,38807,6.83,34.77,19.64,187,85291.14285714286,4702.142857142857,6.83018109086394,33.75066630047134
2020-05-15,4542073,308866,1592880,2640327,96349,5215,47168,6.8,35.07,19.39,187,85770.0,4651.714285714285,6.800110874483964,34.23871824191947
2020-05-16,4637485,313037,1648546,2675902,95412,4171,55666,6.75,35.55,18.99,187,87136.57142857143,4638.285714285715,6.75014582257409,34.422159917533136
2020-05-17,4715994,316366,1688699,2710929,78509,3329,40153,6.71,35.81,18.73,187,87458.57142857143,4604.428571428572,6.708363072556921,34.908946906834146
2020-05-18,4804278,319657,1740909,2743712,88284,3291,52210,6.65,36.24,18.36,187,89170.85714285714,4578.428571428572,6.65359082051455,34.87372265971352
2020-05-19,4900702,324441,1792256,2784005,96633,4784,51347,6.62,36.57,18.1,187,91030.0,4469.428571428572,6.620296439163205,34.85604717261781
2020-05-20,5003730,329326,1850441,2823963,103028,4885,58185,6.58,36.98,17.8,187,93617.28571428571,4420.428571428572,6.581610118851337,34.57701417793496
2020-05-21,5110064,334112,1900768,2875184,106438,4786,50327,6.54,37.2,17.58,187,94950.42857142857,4351.571428571428,6.538313414469956,34.839221442040994
